Airline,FlightNumber,Departure,Arrival,DepartureTime,ArrivalTime,Delay
Etihad Airways,9891,Paris,Sydney,Evening,Afternoon,On Time
Saudi Arabian Airlines,9235,New York,Rome,Afternoon,Night,Cancelled
British Airways,2054,Paris,Madrid,Night,Evening,Delayed
Air Algerie,9768,Paris,Madrid,Evening,Afternoon,On Time
Kuwait Airways,2417,Rome,Paris,Morning,Morning,On Time
Kuwait Airways,4477,Doha,London,Morning,Evening,On Time
British Airways,6507,Berlin,New York,Night,Evening,Delayed
Swiss International Air Lines,7967,Dubai,New York,Afternoon,Evening,Delayed
American Airlines,7287,Berlin,New York,Evening,Morning,Cancelled
Etihad Airways,7892,Rome,Dubai,Afternoon,Evening,Cancelled
Kuwait Airways,5606,Berlin,London,Evening,Morning,Cancelled
South Korea Air,6854,Tokyo,Sydney,Night,Morning,Delayed
Delta Airlines,6416,Berlin,New York,Afternoon,Evening,Cancelled
Turkish Airlines,1232,Sydney,Paris,Afternoon,Morning,Delayed
Lufthansa,5034,Paris,Berlin,Night,Morning,Cancelled
Emirates,9584,Dubai,Dubai,Evening,Afternoon,Cancelled
Kuwait Airways,3863,Rome,Madrid,Morning,Morning,Cancelled
Etihad Airways,7364,London,Tokyo,Evening,Evening,Delayed
Japan Airlines,9455,Rome,Sydney,Night,Afternoon,Delayed
South Korea Air,2495,Dubai,Paris,Afternoon,Afternoon,Cancelled
Delta Airlines,4212,Madrid,Paris,Night,Morning,Cancelled
Delta Airlines,7964,New York,Sydney,Evening,Evening,On Time
Swiss International Air Lines,3544,London,Berlin,Evening,Afternoon,On Time
Swiss International Air Lines,555,Doha,Berlin,Night,Night,On Time
Air Algerie,9370,Tokyo,Tokyo,Night,Morning,Delayed
Saudi Arabian Airlines,1567,Dubai,Sydney,Night,Afternoon,Delayed
Etihad Airways,3349,Berlin,Dubai,Afternoon,Morning,Cancelled
Saudi Arabian Airlines,3200,Dubai,Paris,Morning,Morning,Cancelled
British Airways,2537,Sydney,Madrid,Night,Afternoon,Cancelled
Lufthansa,9566,Dubai,Doha,Afternoon,Night,Delayed
American Airlines,8951,New York,London,Morning,Morning,On Time
Lufthansa,4453,Sydney,Sydney,Night,Evening,Delayed
Saudi Arabian Airlines,1513,Rome,Berlin,Evening,Afternoon,Delayed
American Airlines,5261,Doha,Berlin,Morning,Night,On Time
ANA,9472,Rome,Madrid,Night,Night,On Time
Swiss International Air Lines,7983,Madrid,Tokyo,Morning,Evening,On Time
Kuwait Airways,7440,London,Berlin,Afternoon,Evening,Delayed
Air Algerie,4820,Dubai,Rome,Afternoon,Night,On Time
Saudi Arabian Airlines,1599,New York,Tokyo,Evening,Morning,Cancelled
American Airlines,263,Paris,Rome,Night,Evening,Cancelled
Etihad Airways,2654,Berlin,Paris,Morning,Night,Delayed
Kuwait Airways,3528,Sydney,New York,Night,Night,Delayed
Turkish Airlines,2264,Berlin,Paris,Evening,Afternoon,Delayed
Swiss International Air Lines,7215,Sydney,Paris,Night,Evening,Cancelled
Saudi Arabian Airlines,9797,Madrid,Madrid,Evening,Morning,Cancelled
Emirates,9309,Rome,New York,Afternoon,Morning,Delayed
Turkish Airlines,8453,Sydney,Paris,Morning,Evening,Delayed
Lufthansa,5300,Berlin,Rome,Evening,Afternoon,Cancelled
ITA Airways,1191,New York,London,Afternoon,Morning,On Time
Delta Airlines,4210,London,Berlin,Morning,Night,On Time
Qatar Airways,5513,Doha,Berlin,Afternoon,Afternoon,Delayed
ITA Airways,3428,London,Dubai,Night,Evening,Cancelled
Air Algerie,2116,Dubai,Rome,Afternoon,Afternoon,Cancelled
American Airlines,5205,Rome,Paris,Evening,Afternoon,On Time
ITA Airways,9407,Rome,Dubai,Night,Night,Cancelled
Qatar Airways,7710,New York,Berlin,Afternoon,Afternoon,Cancelled
Delta Airlines,1489,Doha,Berlin,Afternoon,Night,Delayed
Delta Airlines,1396,London,Tokyo,Morning,Evening,On Time
Lufthansa,6987,Berlin,Doha,Afternoon,Afternoon,Delayed
American Airlines,2238,Rome,Doha,Evening,Morning,Cancelled
South Korea Air,6483,Rome,Sydney,Night,Morning,Delayed
Qatar Airways,7624,Rome,Berlin,Night,Morning,Cancelled
British Airways,1914,Tokyo,London,Morning,Night,Cancelled
Turkish Airlines,3403,Madrid,Sydney,Evening,Evening,Cancelled
British Airways,6949,Rome,Dubai,Evening,Evening,On Time
British Airways,8130,London,Sydney,Afternoon,Night,Cancelled
Swiss International Air Lines,5564,Paris,Tokyo,Night,Afternoon,Delayed
Turkish Airlines,8941,Madrid,Tokyo,Afternoon,Evening,On Time
Qatar Airways,7437,New York,Berlin,Afternoon,Morning,On Time
Japan Airlines,4741,Madrid,Tokyo,Night,Afternoon,Delayed
Qatar Airways,3467,Berlin,Tokyo,Afternoon,Evening,Delayed
British Airways,5159,Rome,Sydney,Night,Morning,Delayed
Etihad Airways,1357,Doha,Rome,Night,Morning,Cancelled
Kuwait Airways,7862,Berlin,New York,Morning,Night,Delayed
Emirates,3400,Doha,Madrid,Night,Night,Delayed
ANA,2579,Rome,New York,Night,Afternoon,Cancelled
Lufthansa,9180,Rome,Sydney,Morning,Afternoon,On Time
South Korea Air,2829,Dubai,Tokyo,Morning,Afternoon,On Time
American Airlines,7660,Rome,Rome,Afternoon,Afternoon,Cancelled
Air Algerie,6986,Doha,Tokyo,Afternoon,Afternoon,On Time
Emirates,7069,Tokyo,Berlin,Night,Afternoon,Delayed
Qatar Airways,851,Rome,Paris,Morning,Afternoon,Cancelled
Delta Airlines,8664,Dubai,Rome,Evening,Evening,Cancelled
Saudi Arabian Airlines,2439,Berlin,Sydney,Morning,Afternoon,On Time
British Airways,3201,New York,Dubai,Night,Evening,On Time
Lufthansa,8076,London,Tokyo,Evening,Evening,On Time
Saudi Arabian Airlines,339,Sydney,New York,Night,Night,Delayed
Air Algerie,3628,Berlin,Dubai,Evening,Night,Delayed
Saudi Arabian Airlines,450,Rome,Paris,Night,Evening,Cancelled
ANA,7364,Paris,London,Night,Afternoon,On Time
American Airlines,5149,Sydney,Berlin,Afternoon,Morning,On Time
British Airways,8527,New York,New York,Night,Afternoon,Cancelled
Japan Airlines,4138,Doha,New York,Night,Evening,Cancelled
Saudi Arabian Airlines,9615,Berlin,Sydney,Afternoon,Afternoon,On Time
Japan Airlines,6849,Berlin,Paris,Morning,Afternoon,Delayed
Lufthansa,995,Dubai,Berlin,Night,Evening,Cancelled
Emirates,7444,Madrid,Paris,Night,Evening,Cancelled
Lufthansa,712,Sydney,New York,Morning,Morning,Delayed
British Airways,946,Doha,Rome,Evening,Night,Delayed
Lufthansa,7810,Berlin,Doha,Morning,Morning,Delayed
ITA Airways,3701,Rome,Sydney,Night,Evening,Cancelled
Swiss International Air Lines,7251,Sydney,Berlin,Evening,Evening,On Time
American Airlines,456,New York,Rome,Afternoon,Afternoon,Delayed
Air Algerie,7513,Madrid,New York,Afternoon,Night,Cancelled
Lufthansa,1055,New York,Madrid,Morning,Afternoon,On Time
ITA Airways,8022,Berlin,Sydney,Night,Evening,On Time
Turkish Airlines,7005,Paris,Doha,Night,Night,On Time
Qatar Airways,3312,London,Paris,Afternoon,Evening,On Time
ITA Airways,2030,Doha,Doha,Evening,Morning,Cancelled
British Airways,3944,Tokyo,New York,Morning,Evening,Delayed
ITA Airways,5174,Dubai,Doha,Afternoon,Night,Cancelled
Japan Airlines,7474,Madrid,Paris,Afternoon,Night,On Time
American Airlines,9377,Rome,New York,Evening,Night,Delayed
South Korea Air,4245,Paris,New York,Evening,Morning,Cancelled
Turkish Airlines,1094,Dubai,Tokyo,Morning,Afternoon,Cancelled
Air Algerie,2215,Tokyo,Rome,Afternoon,Night,On Time
Lufthansa,1214,Doha,Rome,Night,Afternoon,On Time
Lufthansa,3939,Sydney,Rome,Morning,Morning,Delayed
Delta Airlines,8007,Berlin,New York,Morning,Afternoon,Cancelled
Saudi Arabian Airlines,7581,Madrid,Tokyo,Morning,Night,Cancelled
Kuwait Airways,2617,New York,Paris,Afternoon,Night,On Time
Qatar Airways,2933,Tokyo,Dubai,Night,Night,Cancelled
Japan Airlines,9515,Berlin,Sydney,Night,Morning,Delayed
British Airways,2994,Rome,Dubai,Afternoon,Evening,Cancelled
Etihad Airways,1737,Dubai,Doha,Morning,Night,Cancelled
Air Algerie,3289,Madrid,Rome,Morning,Night,Cancelled
British Airways,4872,Madrid,Tokyo,Afternoon,Morning,On Time
Saudi Arabian Airlines,8442,Dubai,Doha,Afternoon,Afternoon,On Time
ITA Airways,8366,Paris,London,Morning,Evening,On Time
Qatar Airways,1846,Doha,Dubai,Afternoon,Night,On Time
British Airways,4054,Rome,Sydney,Afternoon,Evening,On Time
Delta Airlines,6528,Madrid,New York,Night,Afternoon,On Time
Saudi Arabian Airlines,5096,Dubai,Madrid,Night,Afternoon,Delayed
Swiss International Air Lines,7485,Doha,London,Afternoon,Night,On Time
Emirates,6483,Tokyo,Rome,Afternoon,Morning,Cancelled
Lufthansa,8030,Madrid,Berlin,Evening,Evening,Cancelled
Delta Airlines,4638,Paris,London,Evening,Night,Delayed
Qatar Airways,9482,Tokyo,New York,Night,Evening,Delayed
Delta Airlines,4913,Dubai,Dubai,Night,Night,Delayed
Japan Airlines,2810,Paris,Berlin,Afternoon,Night,Cancelled
South Korea Air,1391,Dubai,Rome,Afternoon,Evening,On Time
ANA,4395,Tokyo,Paris,Afternoon,Morning,Delayed
Kuwait Airways,8149,Berlin,New York,Morning,Evening,On Time
ITA Airways,7673,Dubai,Sydney,Night,Night,On Time
Lufthansa,8864,Dubai,Paris,Morning,Morning,On Time
Swiss International Air Lines,2667,New York,Berlin,Afternoon,Afternoon,Cancelled
ITA Airways,9927,Berlin,Dubai,Evening,Afternoon,On Time
Swiss International Air Lines,5716,Madrid,Rome,Morning,Morning,On Time
ANA,4710,Tokyo,London,Morning,Night,Delayed
Kuwait Airways,7908,Doha,Tokyo,Night,Night,Delayed
Kuwait Airways,5529,New York,Sydney,Night,Evening,On Time
Qatar Airways,4881,London,New York,Morning,Afternoon,On Time
Qatar Airways,3896,Sydney,Rome,Evening,Night,Delayed
Lufthansa,2012,Sydney,London,Morning,Morning,On Time
American Airlines,2318,Madrid,Dubai,Evening,Night,Cancelled
Japan Airlines,8388,Sydney,Rome,Morning,Afternoon,Cancelled
American Airlines,3999,Doha,London,Night,Night,Delayed
British Airways,5093,Rome,New York,Evening,Morning,Cancelled
Turkish Airlines,7834,Berlin,Doha,Morning,Afternoon,Cancelled
Delta Airlines,8966,Doha,Madrid,Afternoon,Evening,Delayed
Delta Airlines,1938,Doha,New York,Afternoon,Morning,On Time
South Korea Air,918,Berlin,Sydney,Morning,Morning,On Time
Japan Airlines,1048,Sydney,Doha,Morning,Morning,Delayed
Delta Airlines,4683,Berlin,Sydney,Afternoon,Morning,On Time
Turkish Airlines,3752,Rome,Sydney,Night,Morning,On Time
ITA Airways,7695,London,London,Morning,Morning,On Time
Kuwait Airways,7192,Paris,Dubai,Evening,Evening,Delayed
ITA Airways,4719,London,Doha,Night,Night,Delayed
Turkish Airlines,150,Rome,London,Night,Morning,Delayed
Air Algerie,1403,London,Dubai,Night,Night,On Time
Delta Airlines,8119,London,New York,Morning,Afternoon,Cancelled
Lufthansa,7072,Paris,Rome,Night,Afternoon,On Time
British Airways,8950,Berlin,London,Afternoon,Afternoon,Cancelled
Emirates,6973,Berlin,Tokyo,Morning,Evening,On Time
Qatar Airways,4616,London,Madrid,Evening,Afternoon,Cancelled
Delta Airlines,3222,Dubai,London,Morning,Evening,Cancelled
Emirates,9539,Dubai,Doha,Afternoon,Afternoon,On Time
Lufthansa,2041,Doha,Doha,Morning,Night,Delayed
Saudi Arabian Airlines,8544,Tokyo,Paris,Afternoon,Afternoon,Cancelled
Qatar Airways,8592,Rome,New York,Morning,Afternoon,On Time
Emirates,3643,New York,Sydney,Night,Morning,Delayed
South Korea Air,3563,Berlin,London,Evening,Morning,Cancelled
Lufthansa,2228,New York,Paris,Morning,Afternoon,Delayed
Emirates,4670,Berlin,Paris,Afternoon,Morning,On Time
ITA Airways,4065,Doha,Madrid,Evening,Evening,On Time
Delta Airlines,8682,New York,Doha,Afternoon,Morning,On Time
ANA,6931,Doha,Tokyo,Night,Morning,Delayed
Lufthansa,2169,Madrid,Dubai,Evening,Evening,Delayed
Emirates,6436,Tokyo,Sydney,Evening,Night,Cancelled
Delta Airlines,9704,London,Berlin,Morning,Morning,Cancelled
British Airways,5463,Madrid,Berlin,Night,Morning,On Time
Qatar Airways,7982,Dubai,Tokyo,Afternoon,Night,On Time
Saudi Arabian Airlines,7902,Tokyo,Berlin,Evening,Morning,Delayed
ANA,4651,Paris,Paris,Evening,Evening,Delayed
Japan Airlines,6891,Tokyo,Paris,Afternoon,Morning,Cancelled
Air Algerie,2781,Madrid,Dubai,Night,Afternoon,Delayed
Lufthansa,137,Sydney,London,Night,Night,Delayed
Qatar Airways,8719,Doha,Madrid,Afternoon,Evening,Delayed
Japan Airlines,3479,Madrid,Dubai,Night,Night,On Time
Air Algerie,5555,New York,Rome,Morning,Evening,Delayed
Delta Airlines,1375,London,Berlin,Night,Morning,On Time
Swiss International Air Lines,8745,Rome,Sydney,Afternoon,Morning,On Time
Saudi Arabian Airlines,6908,Doha,Tokyo,Night,Evening,Delayed
Delta Airlines,5649,Berlin,Sydney,Afternoon,Evening,Cancelled
Kuwait Airways,2406,Berlin,Doha,Night,Afternoon,On Time
Lufthansa,360,Madrid,Paris,Morning,Night,Cancelled
Qatar Airways,6136,Doha,Doha,Afternoon,Evening,Delayed
ITA Airways,6027,Tokyo,Sydney,Evening,Morning,On Time
Kuwait Airways,6389,Rome,Berlin,Night,Evening,Delayed
Air Algerie,1956,Madrid,Sydney,Morning,Evening,On Time
Swiss International Air Lines,9552,Doha,London,Morning,Afternoon,Cancelled
British Airways,5561,Sydney,Paris,Evening,Morning,Cancelled
Qatar Airways,7958,Madrid,Sydney,Evening,Evening,On Time
Saudi Arabian Airlines,2583,Paris,Tokyo,Night,Afternoon,Delayed
Emirates,9391,Madrid,New York,Afternoon,Evening,Cancelled
Etihad Airways,9900,Rome,Paris,Morning,Afternoon,Cancelled
Swiss International Air Lines,1446,Doha,Berlin,Night,Afternoon,Delayed
Japan Airlines,4931,Rome,Berlin,Night,Afternoon,Delayed
Lufthansa,2744,Dubai,Rome,Night,Evening,Delayed
American Airlines,2067,New York,Rome,Evening,Afternoon,Cancelled
Air Algerie,8272,Tokyo,Sydney,Morning,Evening,Delayed
Saudi Arabian Airlines,3871,Paris,Dubai,Afternoon,Afternoon,Delayed
ANA,3749,Rome,Tokyo,Afternoon,Night,On Time
Air Algerie,6104,New York,New York,Morning,Morning,Delayed
Lufthansa,6638,Berlin,Berlin,Morning,Night,Cancelled
ITA Airways,5648,Tokyo,Rome,Afternoon,Night,On Time
Emirates,2719,Tokyo,Tokyo,Night,Evening,Cancelled
Etihad Airways,1389,Paris,London,Afternoon,Morning,On Time
Saudi Arabian Airlines,4377,Tokyo,Tokyo,Morning,Afternoon,Cancelled
Air Algerie,1187,Paris,Berlin,Morning,Night,Cancelled
Delta Airlines,2616,Paris,Paris,Evening,Night,On Time
British Airways,659,Tokyo,Dubai,Evening,Evening,Delayed
British Airways,5081,London,Sydney,Evening,Afternoon,Cancelled
Etihad Airways,4035,London,Doha,Evening,Evening,On Time
Air Algerie,8828,Berlin,Berlin,Afternoon,Afternoon,On Time
British Airways,6286,Rome,Dubai,Night,Afternoon,Cancelled
South Korea Air,1111,Dubai,Tokyo,Evening,Morning,Cancelled
American Airlines,9725,Rome,Rome,Evening,Afternoon,Cancelled
Air Algerie,8622,Berlin,Berlin,Evening,Night,Cancelled
Air Algerie,1927,New York,Paris,Evening,Night,Delayed
Turkish Airlines,9680,Sydney,Rome,Night,Night,Cancelled
Air Algerie,4263,Paris,Dubai,Evening,Afternoon,Cancelled
Turkish Airlines,1232,Doha,Berlin,Night,Night,Cancelled
Air Algerie,7510,Doha,Dubai,Night,Evening,Cancelled
Qatar Airways,5135,Rome,London,Evening,Evening,Delayed
Delta Airlines,7217,London,Doha,Night,Night,On Time
American Airlines,8562,Rome,Rome,Night,Morning,Delayed
Kuwait Airways,2763,Berlin,Dubai,Morning,Evening,On Time
Lufthansa,3262,Madrid,Paris,Evening,Night,Cancelled
Air Algerie,6771,Sydney,Doha,Evening,Afternoon,Delayed
ANA,9672,London,Sydney,Night,Night,On Time
Air Algerie,1488,London,London,Afternoon,Evening,On Time
Kuwait Airways,7475,London,Rome,Morning,Evening,On Time
Kuwait Airways,5277,Rome,New York,Afternoon,Morning,Delayed
British Airways,7198,Sydney,New York,Afternoon,Night,Delayed
Etihad Airways,5695,Berlin,Tokyo,Afternoon,Evening,On Time
British Airways,6390,Doha,Dubai,Afternoon,Afternoon,Delayed
British Airways,6376,Rome,Dubai,Afternoon,Evening,Delayed
Turkish Airlines,3568,Paris,New York,Morning,Night,Delayed
Air Algerie,5863,New York,Paris,Afternoon,Afternoon,Delayed
Swiss International Air Lines,2981,Dubai,Doha,Morning,Evening,On Time
Air Algerie,9024,Madrid,Doha,Afternoon,Afternoon,Delayed
Turkish Airlines,4936,Rome,New York,Night,Morning,Cancelled
Turkish Airlines,3685,Paris,New York,Morning,Evening,Delayed
Emirates,9570,Madrid,Rome,Afternoon,Night,Cancelled
Qatar Airways,7936,Paris,Berlin,Morning,Morning,On Time
Saudi Arabian Airlines,7582,New York,Sydney,Morning,Morning,Delayed
Air Algerie,4123,Berlin,Berlin,Evening,Morning,Cancelled
Saudi Arabian Airlines,9724,Paris,Rome,Afternoon,Night,Cancelled
Lufthansa,6917,Madrid,Berlin,Morning,Night,On Time
British Airways,1333,Berlin,Sydney,Morning,Morning,Delayed
Turkish Airlines,2638,Madrid,London,Afternoon,Night,Delayed
Qatar Airways,7168,Berlin,Berlin,Morning,Night,On Time
Swiss International Air Lines,8536,Rome,Madrid,Afternoon,Morning,Cancelled
Saudi Arabian Airlines,5452,Berlin,Madrid,Evening,Evening,Cancelled
Air Algerie,924,New York,London,Night,Morning,Cancelled
American Airlines,1454,Madrid,Rome,Morning,Evening,Cancelled
Delta Airlines,6014,Paris,London,Morning,Evening,On Time
Japan Airlines,4387,London,New York,Morning,Afternoon,On Time
British Airways,7128,Rome,London,Morning,Evening,Delayed
Delta Airlines,8734,Tokyo,New York,Evening,Morning,On Time
Qatar Airways,852,Dubai,Doha,Night,Afternoon,Delayed
Lufthansa,3249,London,Berlin,Night,Night,Delayed
Qatar Airways,8914,Rome,Rome,Afternoon,Morning,Cancelled
ITA Airways,2673,London,Paris,Morning,Night,On Time
Swiss International Air Lines,5643,Sydney,London,Morning,Night,On Time
Qatar Airways,2100,Dubai,Doha,Afternoon,Afternoon,On Time
British Airways,3727,Madrid,Rome,Morning,Morning,On Time
Swiss International Air Lines,5738,London,Rome,Evening,Morning,Cancelled
Delta Airlines,7202,Berlin,Paris,Afternoon,Night,Cancelled
ITA Airways,1977,Tokyo,Madrid,Night,Afternoon,Delayed
Etihad Airways,4596,Doha,Doha,Afternoon,Evening,Delayed
ITA Airways,4311,Rome,New York,Afternoon,Evening,On Time
Air Algerie,9420,Madrid,Doha,Afternoon,Afternoon,On Time
Qatar Airways,1187,Rome,Doha,Night,Night,On Time
Delta Airlines,2340,Doha,New York,Afternoon,Morning,Delayed
Swiss International Air Lines,9271,Sydney,London,Morning,Evening,On Time
Japan Airlines,5956,Tokyo,Doha,Night,Night,Cancelled
Japan Airlines,6265,Tokyo,Madrid,Afternoon,Morning,On Time
Lufthansa,8864,Sydney,Dubai,Evening,Night,Cancelled
South Korea Air,908,Doha,Madrid,Evening,Afternoon,Delayed
Saudi Arabian Airlines,483,Rome,Rome,Night,Morning,Cancelled
Lufthansa,2834,Tokyo,London,Morning,Evening,On Time
Turkish Airlines,6001,Dubai,New York,Evening,Morning,Cancelled
Air Algerie,4041,Berlin,Doha,Evening,Night,On Time
Qatar Airways,5247,Doha,New York,Morning,Afternoon,On Time
Emirates,6770,Sydney,New York,Evening,Night,On Time
American Airlines,9012,Paris,Tokyo,Evening,Night,Cancelled
Japan Airlines,1494,Dubai,Madrid,Evening,Evening,On Time
ITA Airways,3385,Tokyo,New York,Evening,Afternoon,Cancelled
Saudi Arabian Airlines,2074,London,Dubai,Evening,Evening,On Time
Delta Airlines,4378,Dubai,Tokyo,Afternoon,Morning,On Time
Emirates,6788,Sydney,Doha,Evening,Night,Delayed
Delta Airlines,8912,Dubai,Rome,Night,Morning,Delayed
South Korea Air,5926,Doha,London,Night,Evening,Cancelled
ANA,4668,Madrid,Paris,Morning,Evening,On Time
South Korea Air,2419,Rome,Sydney,Evening,Afternoon,Cancelled
South Korea Air,6385,London,Berlin,Morning,Afternoon,Cancelled
Lufthansa,6930,Dubai,Dubai,Evening,Night,Delayed
Swiss International Air Lines,398,Rome,Dubai,Morning,Night,Delayed
Emirates,177,Doha,Madrid,Night,Night,On Time
Saudi Arabian Airlines,2327,London,Berlin,Evening,Night,Delayed
Qatar Airways,6866,Berlin,Madrid,Afternoon,Evening,Cancelled
Emirates,7824,Dubai,Dubai,Morning,Afternoon,Delayed
ITA Airways,4039,New York,Tokyo,Night,Evening,Delayed
Swiss International Air Lines,1429,Paris,Tokyo,Afternoon,Afternoon,Cancelled
Emirates,6679,Paris,Madrid,Evening,Afternoon,Delayed
ITA Airways,5239,Paris,London,Afternoon,Night,On Time
South Korea Air,3916,Berlin,New York,Evening,Afternoon,On Time
South Korea Air,2176,Dubai,London,Evening,Afternoon,Cancelled
American Airlines,1850,Rome,Doha,Morning,Night,Cancelled
Kuwait Airways,118,Tokyo,Sydney,Evening,Afternoon,Delayed
Delta Airlines,3067,Rome,London,Afternoon,Night,Cancelled
Delta Airlines,7172,Rome,London,Afternoon,Afternoon,Delayed
Qatar Airways,7047,Paris,Rome,Night,Night,Delayed
British Airways,9523,Rome,Doha,Morning,Night,On Time
Turkish Airlines,8930,Tokyo,Dubai,Evening,Night,Cancelled
Delta Airlines,2966,Doha,Dubai,Evening,Evening,Cancelled
Qatar Airways,3222,Dubai,Sydney,Night,Evening,Delayed
Delta Airlines,7001,Dubai,Paris,Evening,Afternoon,Cancelled
Emirates,2057,Dubai,Sydney,Evening,Afternoon,Delayed
South Korea Air,7699,Paris,Sydney,Morning,Night,Cancelled
Turkish Airlines,8990,Dubai,Doha,Night,Night,Delayed
Japan Airlines,2084,Berlin,Madrid,Morning,Evening,Cancelled
American Airlines,6859,New York,Paris,Afternoon,Afternoon,Delayed
Delta Airlines,3945,New York,Paris,Afternoon,Morning,Delayed
Swiss International Air Lines,5165,Dubai,Paris,Afternoon,Afternoon,Delayed
Qatar Airways,9507,London,Paris,Afternoon,Night,Cancelled
Japan Airlines,3407,Rome,London,Evening,Evening,Delayed
Turkish Airlines,9139,Doha,London,Evening,Evening,Delayed
Kuwait Airways,8909,Berlin,New York,Evening,Night,Delayed
Japan Airlines,6383,Madrid,Berlin,Evening,Night,On Time
Delta Airlines,4064,Tokyo,London,Afternoon,Evening,On Time
Saudi Arabian Airlines,2511,Sydney,Dubai,Night,Night,Cancelled
Emirates,7666,New York,Dubai,Morning,Morning,On Time
Saudi Arabian Airlines,7028,Dubai,Paris,Night,Evening,On Time
ANA,5950,Sydney,Berlin,Evening,Morning,Delayed
British Airways,9360,New York,Madrid,Evening,Morning,Cancelled
South Korea Air,9809,Rome,Dubai,Night,Morning,Delayed
Turkish Airlines,9171,London,Doha,Morning,Evening,Cancelled
American Airlines,5383,Tokyo,Tokyo,Evening,Night,Cancelled
American Airlines,2640,Madrid,Madrid,Morning,Night,Cancelled
ANA,167,Doha,Paris,Night,Night,Cancelled
American Airlines,2369,Dubai,New York,Evening,Evening,Cancelled
Kuwait Airways,631,Berlin,London,Evening,Afternoon,On Time
Turkish Airlines,268,Berlin,New York,Night,Afternoon,On Time
ANA,3309,Rome,London,Night,Night,Cancelled
Etihad Airways,4208,Dubai,Paris,Afternoon,Night,Cancelled
British Airways,6034,Paris,Tokyo,Morning,Morning,Delayed
Air Algerie,2644,Berlin,Dubai,Evening,Morning,Delayed
ANA,7177,London,Paris,Afternoon,Afternoon,Delayed
ITA Airways,4746,Madrid,Sydney,Afternoon,Afternoon,Cancelled
Saudi Arabian Airlines,6113,Paris,New York,Morning,Morning,Delayed
Turkish Airlines,1114,Berlin,Madrid,Morning,Evening,On Time
Saudi Arabian Airlines,1658,London,London,Afternoon,Night,Cancelled
American Airlines,9824,Paris,Berlin,Afternoon,Night,Cancelled
Qatar Airways,1621,Doha,Rome,Afternoon,Afternoon,Delayed
Etihad Airways,6226,Dubai,Sydney,Morning,Night,On Time
Lufthansa,3352,New York,London,Night,Morning,Delayed
Lufthansa,4655,New York,Sydney,Morning,Evening,Delayed
Etihad Airways,2756,New York,Sydney,Morning,Evening,On Time
British Airways,3017,London,Dubai,Evening,Afternoon,Cancelled
Kuwait Airways,5927,Berlin,Sydney,Evening,Evening,Cancelled
Qatar Airways,148,Madrid,Paris,Afternoon,Evening,Cancelled
Etihad Airways,9916,Paris,London,Night,Evening,Cancelled
Saudi Arabian Airlines,9370,Tokyo,Paris,Night,Afternoon,On Time
Delta Airlines,9746,Paris,Rome,Evening,Afternoon,Delayed
Japan Airlines,1764,Paris,Tokyo,Evening,Evening,Cancelled
Delta Airlines,2508,Doha,Madrid,Night,Afternoon,On Time
Kuwait Airways,1736,New York,Rome,Night,Evening,Cancelled
Swiss International Air Lines,4547,Dubai,Dubai,Night,Afternoon,Delayed
Swiss International Air Lines,7230,Rome,Dubai,Night,Night,Delayed
Qatar Airways,1123,Sydney,Dubai,Night,Evening,Delayed
Emirates,7986,New York,Dubai,Morning,Morning,Cancelled
Emirates,6745,Berlin,Rome,Afternoon,Evening,Cancelled
Etihad Airways,6967,Doha,Rome,Morning,Morning,Delayed
Swiss International Air Lines,8064,Sydney,Tokyo,Morning,Evening,Delayed
ITA Airways,8036,Rome,Rome,Morning,Morning,Delayed
Qatar Airways,3500,Dubai,London,Morning,Afternoon,Delayed
American Airlines,7964,Paris,Paris,Morning,Afternoon,Delayed
ITA Airways,2059,Sydney,Sydney,Evening,Night,Cancelled
South Korea Air,6459,Sydney,Sydney,Evening,Night,Delayed
Swiss International Air Lines,9397,Madrid,Rome,Night,Night,Cancelled
Qatar Airways,1893,Dubai,Berlin,Evening,Evening,On Time
Air Algerie,814,Doha,Berlin,Evening,Morning,Delayed
South Korea Air,1871,London,Sydney,Afternoon,Morning,On Time
British Airways,7575,Paris,London,Evening,Afternoon,On Time
Saudi Arabian Airlines,9308,Berlin,Madrid,Evening,Night,On Time
South Korea Air,2327,Rome,Rome,Evening,Morning,Cancelled
Turkish Airlines,6525,Doha,Rome,Evening,Morning,On Time
Swiss International Air Lines,3150,Tokyo,Berlin,Morning,Night,On Time
Air Algerie,8513,New York,Doha,Evening,Evening,Delayed
ITA Airways,5875,Rome,New York,Evening,Afternoon,Cancelled
Lufthansa,5877,Tokyo,Sydney,Morning,Night,Delayed
Japan Airlines,8825,Berlin,Berlin,Night,Evening,Cancelled
Saudi Arabian Airlines,9189,Madrid,New York,Morning,Afternoon,On Time
Air Algerie,2152,Tokyo,Berlin,Evening,Morning,Cancelled
Saudi Arabian Airlines,8991,Rome,Dubai,Afternoon,Morning,On Time
Turkish Airlines,4784,London,Tokyo,Night,Afternoon,On Time
Etihad Airways,1787,Tokyo,London,Morning,Evening,Cancelled
Qatar Airways,5498,Sydney,Doha,Evening,Afternoon,On Time
Air Algerie,857,Madrid,Madrid,Afternoon,Morning,Cancelled
Turkish Airlines,2175,Madrid,Paris,Afternoon,Afternoon,Cancelled
Lufthansa,4487,Rome,New York,Afternoon,Night,On Time
American Airlines,9660,Madrid,London,Night,Morning,On Time
